User name,AWS access key,Event time,Event source,Event name,AWS region,Source IP address,User agent,Error code,Resources,Request ID,Event ID,Read-only,Event type,Recipient Account Id,Event category
root,ASIAZAMVRY3OY7TI7PWK,2021-02-24T06:52:02Z,s3.amazonaws.com,DeleteBucket,us-east-1,68.108.221.135,"[S3Console/0.4, aws-internal/3 aws-sdk-java/1.11.920 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.275-b01 java/1.8.0_275 vendor/Oracle_Corporation]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-619325802205-2f0d6683""}]",26C383B7857EF9F7,26632734-bb87-402f-86fd-79da82263c39,false,AwsApiCall,619325802205,Management
root,ASIAZAMVRY3OY7TI7PWK,2021-02-24T06:51:31Z,s3.amazonaws.com,DeleteBucket,us-east-1,68.108.221.135,"[S3Console/0.4, aws-internal/3 aws-sdk-java/1.11.920 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.275-b01 java/1.8.0_275 vendor/Oracle_Corporation]",BucketNotEmpty,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-619325802205-2f0d6683""}]",3D562B7170FA3D4C,22c0c811-78f2-427f-abb5-e6ea52d444da,false,AwsApiCall,619325802205,Management
root,ASIAZAMVRY3OY7TI7PWK,2021-02-24T06:51:26Z,s3.amazonaws.com,DeleteBucket,us-east-1,68.108.221.135,"[S3Console/0.4, aws-internal/3 aws-sdk-java/1.11.920 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.275-b01 java/1.8.0_275 vendor/Oracle_Corporation]",BucketNotEmpty,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-619325802205-2f0d6683""}]",C7037CC2BA0B670B,520e6d81-7676-49d6-b286-50f725785113,false,AwsApiCall,619325802205,Management
root,ASIAZAMVRY3OY7TI7PWK,2021-02-24T06:51:22Z,s3.amazonaws.com,DeleteBucket,us-east-1,68.108.221.135,"[S3Console/0.4, aws-internal/3 aws-sdk-java/1.11.920 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.275-b01 java/1.8.0_275 vendor/Oracle_Corporation]",BucketNotEmpty,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-619325802205-2f0d6683""}]",EY0Q3S3N2M2N1R0M,c7d8a330-31a0-4d59-b8f4-8d4f0e3fbcaf,false,AwsApiCall,619325802205,Management
root,ASIAZAMVRY3OTACKDBI3,2021-02-24T06:50:32Z,iam.amazonaws.com,DetachGroupPolicy,us-east-1,68.108.221.135,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AmazonS3FullAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",a7c66f36-acd3-42b3-b1bf-ad3e2c486d37,27f0c2db-0c70-41b5-82f9-5c372347b63e,false,AwsApiCall,619325802205,Management
CloudTrail,ASIAZAMVRY3OVU2CNJZE,2021-02-24T06:50:08Z,cloudtrail.amazonaws.com,DeleteTrail,us-east-1,68.108.221.135,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:619325802205:trail/Udacity_Trail""}]",4ab851aa-c806-4f2a-8720-f997ab62c245,9c6eb07a-c510-48e4-b86f-912c881604b2,false,AwsApiCall,619325802205,Management
root,ASIAZAMVRY3OTACKDBI3,2021-02-24T06:49:22Z,iam.amazonaws.com,AttachGroupPolicy,us-east-1,68.108.221.135,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AmazonS3FullAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",a6e8142b-3825-4c2a-b84d-0b48fbd28655,e4ed508a-f87d-4bda-9727-0073b5c4f5f5,false,AwsApiCall,619325802205,Management
root,ASIAZAMVRY3OTACKDBI3,2021-02-24T06:48:59Z,iam.amazonaws.com,DetachGroupPolicy,us-east-1,68.108.221.135,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",946a65e7-5d5d-407d-8a65-a6b46b9e695d,2b0d688b-624f-4735-833c-91dc283141b2,false,AwsApiCall,619325802205,Management
root,ASIAZAMVRY3OTACKDBI3,2021-02-24T06:48:29Z,iam.amazonaws.com,AttachGroupPolicy,us-east-1,68.108.221.135,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",9bc69a30-214f-4e29-9916-a0d9542e2afd,6d90ae5e-07c9-41ee-ad25-d7c45ef42cd6,false,AwsApiCall,619325802205,Management
CloudTrail,,2021-02-24T06:47:17Z,signin.amazonaws.com,ConsoleLogin,us-east-1,68.108.221.135,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",,[],,b8302aaf-e5b5-4ab1-9be4-2afbfd0bf099,false,AwsConsoleSignIn,619325802205,Management
